"id","title","description","availability","condition","price","link","image_link","brand","item_group_id","custom_label_0"
"SAL_CAESAR_REG","Sassy Caesar (Regular)","Ensalada con mézclum, kale + repollo, tomates cherry, parmesan crumble, za'atar crumbs y farmhouse caesar dressing. Tamaño regular.","in stock","new","11.95 USD","https://farmhousepanelwhatsapp-production.up.railway.app/?sku=SAL_CAESAR_REG","https://farmhousepanelwhatsapp-production.up.railway.app/static/catalog/SAL_CAESAR_REG.jpg","Farmhouse","GRP_SASSY_CAESAR","Salads"
"SAL_CAESAR_LRG","Sassy Caesar (Large)","Ensalada con mézclum, kale + repollo, tomates cherry, parmesan crumble, za'atar crumbs y farmhouse caesar dressing. Tamaño large, porción más generosa.","in stock","new","13.95 USD","https://farmhousepanelwhatsapp-production.up.railway.app/?sku=SAL_CAESAR_LRG","https://farmhousepanelwhatsapp-production.up.railway.app/static/catalog/SAL_CAESAR_LRG.jpg","Farmhouse","GRP_SASSY_CAESAR","Salads"
"SAL_LUPITA_REG","La Lupita (Regular)","Ensalada con mézclum, roasted corn, avo smash, frijolitos negros, cebolla encurtida, cilantro, totopos y chipotle lime dressing. Tamaño regular.","in stock","new","12.95 USD","https://farmhousepanelwhatsapp-production.up.railway.app/?sku=SAL_LUPITA_REG","https://farmhousepanelwhatsapp-production.up.railway.app/static/catalog/SAL_LUPITA_REG.jpg","Farmhouse","GRP_LA_LUPITA","Salads"
"SAL_LUPITA_LRG","La Lupita (Large)","Ensalada con mézclum, roasted corn, avo smash, frijolitos negros, cebolla encurtida, cilantro, totopos y chipotle lime dressing. Tamaño large, porción más generosa.","in stock","new","14.95 USD","https://farmhousepanelwhatsapp-production.up.railway.app/?sku=SAL_LUPITA_LRG","https://farmhousepanelwhatsapp-production.up.railway.app/static/catalog/SAL_LUPITA_LRG.jpg","Farmhouse","GRP_LA_LUPITA","Salads"
"SAL_GRECA_REG","La Greca (Regular)","Ensalada con mézclum, kale + repollo, tomates cherry, pepino, aceitunas kalamata, pimentón rostizado, feta, garbanzos crispy y green tahini dressing. Tamaño regular.","in stock","new","11.95 USD","https://farmhousepanelwhatsapp-production.up.railway.app/?sku=SAL_GRECA_REG","https://farmhousepanelwhatsapp-production.up.railway.app/static/catalog/SAL_GRECA_REG.jpg","Farmhouse","GRP_LA_GRECA","Salads"
"SAL_GRECA_LRG","La Greca (Large)","Ensalada con mézclum, kale + repollo, tomates cherry, pepino, aceitunas kalamata, pimentón rostizado, feta, garbanzos crispy y green tahini dressing. Tamaño large, porción más generosa.","in stock","new","13.95 USD","https://farmhousepanelwhatsapp-production.up.railway.app/?sku=SAL_GRECA_LRG","https://farmhousepanelwhatsapp-production.up.railway.app/static/catalog/SAL_GRECA_LRG.jpg","Farmhouse","GRP_LA_GRECA","Salads"
"BWL_COSECHA_REG","La Cosecha (Regular)","Bowl con cilantro pesto rice, kale + repollo, zapallo rostizado, queso de cabra, cranberries, almendras tostadas y balsamic vinaigrette. Tamaño regular.","in stock","new","12.95 USD","https://farmhousepanelwhatsapp-production.up.railway.app/?sku=BWL_COSECHA_REG","https://farmhousepanelwhatsapp-production.up.railway.app/static/catalog/BWL_COSECHA_REG.jpg","Farmhouse","GRP_LA_COSECHA","Bowls"
"BWL_COSECHA_LRG","La Cosecha (Large)","Bowl con cilantro pesto rice, kale + repollo, zapallo rostizado, queso de cabra, cranberries, almendras tostadas y balsamic vinaigrette. Tamaño large, porción más generosa.","in stock","new","14.95 USD","https://farmhousepanelwhatsapp-production.up.railway.app/?sku=BWL_COSECHA_LRG","https://farmhousepanelwhatsapp-production.up.railway.app/static/catalog/BWL_COSECHA_LRG.jpg","Farmhouse","GRP_LA_COSECHA","Bowls"
"BWL_CRISPYSAI_REG","Crispy Sai (Regular)","Bowl con cilantro pesto rice, kale + repollo, zanahorias ralladas, pepino, brócoli rostizado, cilantro, almendras tostadas, arroz crispy, rodaja de limón y thai peanut dressing. Tamaño regular.","in stock","new","12.95 USD","https://farmhousepanelwhatsapp-production.up.railway.app/?sku=BWL_CRISPYSAI_REG","https://farmhousepanelwhatsapp-production.up.railway.app/static/catalog/BWL_CRISPYSAI_REG.jpg","Farmhouse","GRP_CRISPY_SAI","Bowls"
"BWL_CRISPYSAI_LRG","Crispy Sai (Large)","Bowl con cilantro pesto rice, kale + repollo, zanahorias ralladas, pepino, brócoli rostizado, cilantro, almendras tostadas, arroz crispy, rodaja de limón y thai peanut dressing. Tamaño large, porción más generosa.","in stock","new","14.95 USD","https://farmhousepanelwhatsapp-production.up.railway.app/?sku=BWL_CRISPYSAI_LRG","https://farmhousepanelwhatsapp-production.up.railway.app/static/catalog/BWL_CRISPYSAI_LRG.jpg","Farmhouse","GRP_CRISPY_SAI","Bowls"
